2017-10-07 15:25:05 startup archives install
2017-10-07 15:25:05 install base-passwd:armhf <none> 3.5.39
2017-10-07 15:25:05 status half-installed base-passwd:armhf 3.5.39
2017-10-07 15:25:06 status unpacked base-passwd:armhf 3.5.39
2017-10-07 15:25:06 status unpacked base-passwd:armhf 3.5.39
2017-10-07 15:25:06 configure base-passwd:armhf 3.5.39 3.5.39
2017-10-07 15:25:06 status unpacked base-passwd:armhf 3.5.39
2017-10-07 15:25:06 status half-configured base-passwd:armhf 3.5.39
2017-10-07 15:25:06 status installed base-passwd:armhf 3.5.39
2017-10-07 15:25:06 startup archives install
2017-10-07 15:25:06 install base-files:armhf <none> 9.4ubuntu4
2017-10-07 15:25:06 status half-installed base-files:armhf 9.4ubuntu4
2017-10-07 15:25:06 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:06 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:06 configure base-files:armhf 9.4ubuntu4 9.4ubuntu4
2017-10-07 15:25:06 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:06 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:06 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:06 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:06 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:06 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:07 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:07 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:07 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:07 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:07 status unpacked base-files:armhf 9.4ubuntu4
2017-10-07 15:25:07 status half-configured base-files:armhf 9.4ubuntu4
2017-10-07 15:25:07 status installed base-files:armhf 9.4ubuntu4
2017-10-07 15:25:07 startup archives install
2017-10-07 15:25:07 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2017-10-07 15:25:07 status half-configured dpkg 1.18.4ubuntu1
2017-10-07 15:25:07 status unpacked dpkg 1.18.4ubuntu1
2017-10-07 15:25:07 status half-installed dpkg 1.18.4ubuntu1
2017-10-07 15:25:07 status half-installed dpkg 1.18.4ubuntu1
2017-10-07 15:25:07 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 configure dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2017-10-07 15:25:08 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 status half-configured dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 status installed dpkg:armhf 1.18.4ubuntu1
2017-10-07 15:25:08 startup archives install
2017-10-07 15:25:08 install libc6:armhf <none> 2.23-0ubuntu3
2017-10-07 15:25:08 status half-installed libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:09 status unpacked libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:10 status unpacked libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:10 configure libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2017-10-07 15:25:10 status unpacked libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:10 status unpacked libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:10 status half-configured libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:10 status installed libc6:armhf 2.23-0ubuntu3
2017-10-07 15:25:10 startup archives install
2017-10-07 15:25:10 install perl-base:armhf <none> 5.22.1-9
2017-10-07 15:25:10 status half-installed perl-base:armhf 5.22.1-9
2017-10-07 15:25:11 status unpacked perl-base:armhf 5.22.1-9
2017-10-07 15:25:11 status unpacked perl-base:armhf 5.22.1-9
2017-10-07 15:25:11 configure perl-base:armhf 5.22.1-9 5.22.1-9
2017-10-07 15:25:11 status unpacked perl-base:armhf 5.22.1-9
2017-10-07 15:25:11 status half-configured perl-base:armhf 5.22.1-9
2017-10-07 15:25:11 status installed perl-base:armhf 5.22.1-9
2017-10-07 15:25:11 startup archives install
2017-10-07 15:25:12 install mawk:armhf <none> 1.3.3-17ubuntu2
2017-10-07 15:25:12 status half-installed mawk:armhf 1.3.3-17ubuntu2
2017-10-07 15:25:12 status unpacked mawk:armhf 1.3.3-17ubuntu2
2017-10-07 15:25:12 status unpacked mawk:armhf 1.3.3-17ubuntu2
2017-10-07 15:25:12 configure mawk:armhf 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2017-10-07 15:25:12 status unpacked mawk:armhf 1.3.3-17ubuntu2
2017-10-07 15:25:12 status half-configured mawk:armhf 1.3.3-17ubuntu2
2017-10-07 15:25:12 status installed mawk:armhf 1.3.3-17ubuntu2
2017-10-07 15:25:12 startup archives install
2017-10-07 15:25:12 install debconf:all <none> 1.5.58ubuntu1
2017-10-07 15:25:12 status half-installed debconf:all 1.5.58ubuntu1
2017-10-07 15:25:12 status unpacked debconf:all 1.5.58ubuntu1
2017-10-07 15:25:12 status unpacked debconf:all 1.5.58ubuntu1
2017-10-07 15:25:12 configure debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2017-10-07 15:25:12 status unpacked debconf:all 1.5.58ubuntu1
2017-10-07 15:25:12 status unpacked debconf:all 1.5.58ubuntu1
2017-10-07 15:25:12 status unpacked debconf:all 1.5.58ubuntu1
2017-10-07 15:25:12 status half-configured debconf:all 1.5.58ubuntu1
